"Day","Items","Note","Amount"
"87","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","1000"
"87","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","1000"
"87","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","1000"
"87","Salary Expense","Cash Payment - Salary Expense","23986"
"87","Rental Expense","Cash Payment - RentalLos Angeles","2160"
"87","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","768"
"87","Rental Expense","Cash Payment - RentalDetroit","1800"
"87","Rental Expense","Cash Payment - RentalNew York","5360"
"87","Rental Expense","Cash Payment - RentalChicago","2960"
"87","Rental Expense","Cash Payment - RentalWashington, D.C.","4880"
"87","Rental Expense","Cash Payment - RentalMiami","2240"
"87","Rental Expense","Cash Payment - RentalSan Francisco","4480"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","1000"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","1000"
"86","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","1000"
"86","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","1000"
"86","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","1000"
"86","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","1000"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","1000"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","1000"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","1000"
"86","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","1000"
"86","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","1000"
"86","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","1000"
"86","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","1000"
"86","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","1000"
"86","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","1000"
"86","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","1000"
"86","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","1000"
"86","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","1000"
"86","Salary Expense","Cash Payment - Salary Expense","23986"
"86","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13716","500"
"86","Shipping Expense","Cash Payment - Move Stock ID: 13548","8190"
"86","Rental Expense","Cash Payment - RentalLos Angeles","2160"
"86","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","2684"
"86","Rental Expense","Cash Payment - RentalDetroit","1800"
"86","Rental Expense","Cash Payment - RentalNew York","5360"
"86","Rental Expense","Cash Payment - RentalChicago","2960"
"86","Rental Expense","Cash Payment - RentalWashington, D.C.","4880"
"86","Rental Expense","Cash Payment - RentalMiami","2240"
"86","Rental Expense","Cash Payment - RentalSan Francisco","4480"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","1000"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","1000"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","1000"
"85","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","1000"
"85","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","1000"
"85","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","1000"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","1000"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","1000"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","1000"
"85","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","1000"
"85","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","1000"
"85","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","1000"
"85","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","1000"
"85","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","1000"
"85","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","1000"
"85","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","1000"
"85","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","1000"
"85","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","1000"
"85","Salary Expense","Cash Payment - Salary Expense","23986"
"85","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13541","100"
"85","Rental Expense","Cash Payment - RentalLos Angeles","2160"
"85","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","4480"
"85","Rental Expense","Cash Payment - RentalDetroit","1800"
"85","Overflow Expense - Retail","Cash Payment - Overflow Fee New York","910"
"85","Rental Expense","Cash Payment - RentalNew York","5360"
"85","Rental Expense","Cash Payment - RentalChicago","2960"
"85","Overflow Expense - Retail","Cash Payment - Overflow Fee Washington, D.C.","3196"
"85","Rental Expense","Cash Payment - RentalWashington, D.C.","4880"
"85","Rental Expense","Cash Payment - RentalMiami","2240"
"85","Rental Expense","Cash Payment - RentalSan Francisco","4480"
"84","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","1000"
"84","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","1000"
"84","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","1000"
"84","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","1000"
"84","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","1000"
"84","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","1000"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","1000"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","1000"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","1000"
"84","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","1000"
"84","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","1000"
"84","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","1000"
"84","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","1000"
"84","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","1000"
"84","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","1000"
"84","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","1000"
"84","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","1000"
"84","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","1000"
"84","Salary Expense","Cash Payment - Salary Expense","23986"
"84","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13217","300"
"84","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13047","300"
"84","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13203","400"
"84","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13031","200"
"84","Rental Expense","Cash Payment - RentalLos Angeles","2160"
"84","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","848"
"84","Rental Expense","Cash Payment - RentalDetroit","1800"
"84","Overflow Expense - Retail","Cash Payment - Overflow Fee New York","1400"
"84","Rental Expense","Cash Payment - RentalNew York","5360"
"84","Rental Expense","Cash Payment - RentalChicago","2960"
"84","Overflow Expense - Retail","Cash Payment - Overflow Fee Washington, D.C.","3196"
"84","Rental Expense","Cash Payment - RentalWashington, D.C.","4880"
"84","Rental Expense","Cash Payment - RentalMiami","2240"
"84","Rental Expense","Cash Payment - RentalSan Francisco","4480"
"83","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","1000"
"83","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","1000"
"83","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","1000"
"83","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","1000"
"83","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","1000"
"83","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","1000"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","1000"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","1000"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","1000"
"83","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","1000"
"83","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","1000"
"83","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","1000"
"83","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","1000"
"83","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","1000"
"83","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","1000"
"83","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","1000"
"83","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","1000"
"83","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","1000"
"83","Salary Expense","Cash Payment - Salary Expense","23986"
"83","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13226","200"
"83","Rental Expense","Cash Payment - RentalLos Angeles","2160"
"83","Rental Expense","Cash Payment - RentalDetroit","1800"
"83","Overflow Expense - Retail","Cash Payment - Overflow Fee New York","1610"
"83","Rental Expense","Cash Payment - RentalNew York","5360"
"83","Rental Expense","Cash Payment - RentalChicago","2960"
"83","Overflow Expense - Retail","Cash Payment - Overflow Fee Washington, D.C.","4148"
"83","Rental Expense","Cash Payment - RentalWashington, D.C.","4880"
"83","Rental Expense","Cash Payment - RentalMiami","2240"
"83","Rental Expense","Cash Payment - RentalSan Francisco","4480"
"82","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","1000"
"82","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","1000"
"82","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","1000"
"82","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","1000"
"82","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","1000"
"82","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","1000"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","1000"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","1000"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","1000"
"82","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","1000"
"82","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","1000"
"82","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","1000"
"82","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","1000"
"82","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","1000"
"82","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","1000"
"82","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","1000"
"82","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","1000"
"82","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","1000"
"82","Salary Expense","Cash Payment - Salary Expense","23986"
"82","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 12668","400"
"82","Rental Expense","Cash Payment - RentalLos Angeles","2160"
"82","Rental Expense","Cash Payment - RentalDetroit","1800"
"82","Overflow Expense - Retail","Cash Payment - Overflow Fee New York","1820"
"82","Rental Expense","Cash Payment - RentalNew York","5360"
"82","Rental Expense","Cash Payment - RentalChicago","2960"
"82","Overflow Expense - Retail","Cash Payment - Overflow Fee Washington, D.C.","4216"
"82","Rental Expense","Cash Payment - RentalWashington, D.C.","4880"
"82","Rental Expense","Cash Payment - RentalMiami","2240"
"82","Rental Expense","Cash Payment - RentalSan Francisco","4480"
"81","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"81","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","1000"
"81","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","1000"
"81","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","1000"
"81","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","1000"
"81","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","1000"
"81","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","1000"
"81","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","1000"
"81","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","1000"
"81","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","1000"
"81","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","1000"
"81","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","1000"
"81","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","1000"
"81","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","1000"
"81","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","1000"
"81","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","1000"
"81","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","1000"
"81","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","1000"
"81","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","1000"
"81","Salary Expense","Cash Payment - Salary Expense","23986"
"81","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 12759","300"
"81","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 12646","500"
"81","Rental Expense","Cash Payment - RentalLos Angeles","2160"
"81","Rental Expense","Cash Payment - RentalDetroit","1800"
"81","Rental Expense","Cash Payment - RentalNew York","5360"
"81","Rental Expense","Cash Payment - RentalChicago","2960"
"81","Overflow Expense - Retail","Cash Payment - Overflow Fee Washington, D.C.","4624"
"81","Rental Expense","Cash Payment - RentalWashington, D.C.","4880"
"81","Rental Expense","Cash Payment - RentalMiami","2240"
"81","Rental Expense","Cash Payment - RentalSan Francisco","4480"
"80","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"80","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","1000"
"80","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","1000"
"80","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","1000"
"80","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","1000"
"80","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","1000"
"80","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","1000"
"80","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","1000"
"80","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","1000"
"80","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","1000"
"80","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","1000"
"80","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","1000"
"80","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","1000"
"80","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","1000"
"80","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","1000"
"80","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","1000"
"80","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","1000"
"80","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","1000"
"80","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","1000"
"80","Salary Expense","Cash Payment - Salary Expense","23618"
"80","Overflow Expense - Retail","Cash Payment - Overflow Fee Los Angeles","544"
"80","Rental Expense","Cash Payment - RentalLos Angeles","2160"
"80","Rental Expense","Cash Payment - RentalDetroit","1800"
"80","Rental Expense","Cash Payment - RentalNew York","5360"
"80","Overflow Expense - Retail","Cash Payment - Overflow Fee Chicago","440"
"80","Rental Expense","Cash Payment - RentalChicago","2960"
"80","Overflow Expense - Retail","Cash Payment - Overflow Fee Washington, D.C.","5100"
"80","Rental Expense","Cash Payment - RentalWashington, D.C.","4880"
"80","Overflow Expense - Retail","Cash Payment - Overflow Fee Miami","62"
"80","Rental Expense","Cash Payment - RentalMiami","2240"
"80","Rental Expense","Cash Payment - RentalSan Francisco","4480"
"79","Human Resource Expense","Attended Training","15000"
"79","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","1000"
"79","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","1000"
"79","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","1000"
"79","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","1000"
"79","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","1000"
"79","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","1000"
"79","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","1000"
"79","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","1000"
"79","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","1000"
"79","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","1000"
"79","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","1000"
"79","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","1000"
"79","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","1000"
"79","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","1000"
"79","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","1000"
"79","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","1000"
"79","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","1000"
"79","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","1000"
"79","Salary Expense","Cash Payment - Salary Expense","23188"
"79","Overflow Expense - Retail","Cash Payment - Overflow Fee Los Angeles","1184"
"79","Rental Expense","Cash Payment - RentalLos Angeles","2160"
"79","Rental Expense","Cash Payment - RentalDetroit","1800"
"79","Rental Expense","Cash Payment - RentalNew York","5360"
"79","Overflow Expense - Retail","Cash Payment - Overflow Fee Chicago","880"
"79","Rental Expense","Cash Payment - RentalChicago","2960"
"79","Overflow Expense - Retail","Cash Payment - Overflow Fee Washington, D.C.","5236"
"79","Rental Expense","Cash Payment - RentalWashington, D.C.","4880"
"79","Overflow Expense - Retail","Cash Payment - Overflow Fee Miami","93"
"79","Rental Expense","Cash Payment - RentalMiami","2240"
"79","Rental Expense","Cash Payment - RentalSan Francisco","4480"
"78","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","1000"
"78","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","1000"
"78","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","1000"
"78","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","1000"
"78","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","1000"
"78","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","1000"
"78","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","1000"
"78","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","1000"
"78","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","1000"
"78","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","1000"
"78","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","1000"
"78","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","1000"
"78","Marketing Expense","Cash Payment - Marketing - Miami - Mouthwash","1000"
"78","Marketing Expense","Cash Payment - Marketing - Miami - Body Wash","1000"
"78","Marketing Expense","Cash Payment - Marketing - Miami - Shampoo","1000"
"78","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","1000"
"78","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","1000"
"78","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","1000"
"78","Salary Expense","Cash Payment - Salary Expense","23188"
"78","Overflow Expense - Retail","Cash Payment - Overflow Fee Los Angeles","1824"
"78","Rental Expense","Cash Payment - RentalLos Angeles","2160"
"78","Rental Expense","Cash Payment - RentalDetroit","1800"
"78","Rental Expense","Cash Payment - RentalNew York","5360"
"78","Overflow Expense - Retail","Cash Payment - Overflow Fee Chicago","1400"
"78","Rental Expense","Cash Payment - RentalChicago","2960"
"78","Overflow Expense - Retail","Cash Payment - Overflow Fee Washington, D.C.","5440"
"78","Rental Expense","Cash Payment - RentalWashington, D.C.","4880"
"78","Overflow Expense - Retail","Cash Payment - Overflow Fee Miami","155"
"78","Rental Expense","Cash Payment - RentalMiami","2240"
"78","Rental Expense","Cash Payment - RentalSan Francisco","4480"
"77","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","1000"
"77","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash","1000"
